DateTime,name,value
2019-01-01T01:00:00.0,gen-1453,-0.0
2019-01-01T00:00:00.0,gen-1024,0.0
2019-01-01T01:00:00.0,gen-1024,0.0
2019-01-01T00:00:00.0,gen-2050,1.0
2019-01-01T01:00:00.0,gen-2050,-0.0
2019-01-01T00:00:00.0,gen-449,1.0
2019-01-01T01:00:00.0,gen-449,-0.0
2019-01-01T00:00:00.0,gen-1232,1.0
2019-01-01T01:00:00.0,gen-1232,-0.0
2019-01-01T00:00:00.0,gen-546,1.0
2019-01-01T01:00:00.0,gen-546,-0.0
2019-01-01T00:00:00.0,gen-951,1.0
2019-01-01T01:00:00.0,gen-951,-0.0
2019-01-01T00:00:00.0,gen-625,1.0
2019-01-01T01:00:00.0,gen-625,-0.0
2019-01-01T00:00:00.0,gen-1235,1.0
2019-01-01T01:00:00.0,gen-1235,-0.0
2019-01-01T00:00:00.0,gen-215,1.0
2019-01-01T01:00:00.0,gen-215,-0.0
2019-01-01T00:00:00.0,gen-107,1.0
2019-01-01T01:00:00.0,gen-107,-0.0
2019-01-01T00:00:00.0,gen-773,1.0
2019-01-01T01:00:00.0,gen-773,-0.0
2019-01-01T00:00:00.0,gen-881,1.0
2019-01-01T01:00:00.0,gen-881,-0.0
2019-01-01T00:00:00.0,gen-593,0.0
2019-01-01T01:00:00.0,gen-593,0.0
2019-01-01T00:00:00.0,gen-667,1.0
2019-01-01T01:00:00.0,gen-667,-0.0
2019-01-01T00:00:00.0,gen-1074,1.0
2019-01-01T01:00:00.0,gen-1074,-0.0
2019-01-01T00:00:00.0,gen-1769,1.0
2019-01-01T01:00:00.0,gen-1769,-0.0
2019-01-01T00:00:00.0,gen-689,1.0
2019-01-01T01:00:00.0,gen-689,-0.0
2019-01-01T00:00:00.0,gen-800,1.0
2019-01-01T01:00:00.0,gen-800,-0.0
2019-01-01T00:00:00.0,gen-550,0.0
2019-01-01T01:00:00.0,gen-550,0.0
2019-01-01T00:00:00.0,gen-47,0.0
2019-01-01T01:00:00.0,gen-47,-0.0
2019-01-01T00:00:00.0,gen-849,1.0
2019-01-01T01:00:00.0,gen-849,-0.0
2019-01-01T00:00:00.0,gen-1222,1.0
2019-01-01T01:00:00.0,gen-1222,-0.0
2019-01-01T00:00:00.0,gen-157,1.0
2019-01-01T01:00:00.0,gen-157,-0.0
2019-01-01T00:00:00.0,gen-427,1.0
2019-01-01T01:00:00.0,gen-427,-0.0
2019-01-01T00:00:00.0,gen-1270,1.0
2019-01-01T01:00:00.0,gen-1270,-0.0
2019-01-01T00:00:00.0,gen-754,1.0
2019-01-01T01:00:00.0,gen-754,-0.0
2019-01-01T00:00:00.0,gen-965,1.0
2019-01-01T01:00:00.0,gen-965,-0.0
2019-01-01T00:00:00.0,gen-1004,1.0
2019-01-01T01:00:00.0,gen-1004,-0.0
2019-01-01T00:00:00.0,gen-1542,1.0
2019-01-01T01:00:00.0,gen-1542,-0.0
2019-01-01T00:00:00.0,gen-548,0.0
2019-01-01T01:00:00.0,gen-548,0.0
2019-01-01T00:00:00.0,gen-1814,1.0
2019-01-01T01:00:00.0,gen-1814,-0.0
2019-01-01T00:00:00.0,gen-62,1.0
2019-01-01T01:00:00.0,gen-62,-0.0
2019-01-01T00:00:00.0,gen-923,1.0
2019-01-01T01:00:00.0,gen-923,-0.0
2019-01-01T00:00:00.0,gen-713,1.0
2019-01-01T01:00:00.0,gen-713,-0.0
2019-01-01T00:00:00.0,gen-1040,1.0
2019-01-01T01:00:00.0,gen-1040,-0.0
2019-01-01T00:00:00.0,gen-151,1.0
2019-01-01T01:00:00.0,gen-151,-0.0
2019-01-01T00:00:00.0,gen-591,1.0
2019-01-01T01:00:00.0,gen-591,-0.0
2019-01-01T00:00:00.0,gen-236,1.0
2019-01-01T01:00:00.0,gen-236,-0.0
2019-01-01T00:00:00.0,gen-966,1.0
2019-01-01T01:00:00.0,gen-966,-0.0
2019-01-01T00:00:00.0,gen-942,1.0
2019-01-01T01:00:00.0,gen-942,-0.0
2019-01-01T00:00:00.0,gen-220,1.0
2019-01-01T01:00:00.0,gen-220,-0.0
2019-01-01T00:00:00.0,gen-892,1.0
2019-01-01T01:00:00.0,gen-892,-0.0
2019-01-01T00:00:00.0,gen-990,1.0
2019-01-01T01:00:00.0,gen-990,-0.0
2019-01-01T00:00:00.0,gen-740,1.0
2019-01-01T01:00:00.0,gen-740,-0.0
2019-01-01T00:00:00.0,gen-255,1.0
2019-01-01T01:00:00.0,gen-255,-0.0
2019-01-01T00:00:00.0,gen-733,1.0
2019-01-01T01:00:00.0,gen-733,-0.0
2019-01-01T00:00:00.0,gen-2088,1.0
2019-01-01T01:00:00.0,gen-2088,-0.0
2019-01-01T00:00:00.0,gen-2101,1.0
2019-01-01T01:00:00.0,gen-2101,-0.0
2019-01-01T00:00:00.0,gen-254,1.0
2019-01-01T01:00:00.0,gen-254,-0.0
2019-01-01T00:00:00.0,gen-356,1.0
2019-01-01T01:00:00.0,gen-356,-0.0
2019-01-01T00:00:00.0,gen-1476,1.0
2019-01-01T01:00:00.0,gen-1476,-0.0
2019-01-01T00:00:00.0,gen-2104,1.0
2019-01-01T01:00:00.0,gen-2104,-0.0
2019-01-01T00:00:00.0,gen-2038,1.0
2019-01-01T01:00:00.0,gen-2038,-0.0
2019-01-01T00:00:00.0,gen-1070,1.0
2019-01-01T01:00:00.0,gen-1070,-0.0
2019-01-01T00:00:00.0,gen-831,1.0
2019-01-01T01:00:00.0,gen-831,-0.0
2019-01-01T00:00:00.0,gen-891,1.0
2019-01-01T01:00:00.0,gen-891,-0.0
2019-01-01T00:00:00.0,gen-159,1.0
2019-01-01T01:00:00.0,gen-159,-0.0
2019-01-01T00:00:00.0,gen-1036,1.0
2019-01-01T01:00:00.0,gen-1036,-0.0
2019-01-01T00:00:00.0,gen-592,0.0
2019-01-01T01:00:00.0,gen-592,0.0
2019-01-01T00:00:00.0,gen-511,1.0
2019-01-01T01:00:00.0,gen-511,-0.0
2019-01-01T00:00:00.0,gen-485,1.0
2019-01-01T01:00:00.0,gen-485,-0.0
2019-01-01T00:00:00.0,gen-687,1.0
2019-01-01T01:00:00.0,gen-687,-0.0
2019-01-01T00:00:00.0,gen-565,1.0
2019-01-01T01:00:00.0,gen-565,-0.0
2019-01-01T00:00:00.0,gen-512,1.0
2019-01-01T01:00:00.0,gen-512,-0.0
2019-01-01T00:00:00.0,gen-185,1.0
2019-01-01T01:00:00.0,gen-185,-0.0
2019-01-01T00:00:00.0,gen-1022,0.0
2019-01-01T01:00:00.0,gen-1022,0.0
2019-01-01T00:00:00.0,gen-1876,1.0
2019-01-01T01:00:00.0,gen-1876,-0.0
2019-01-01T00:00:00.0,gen-368,1.0
2019-01-01T01:00:00.0,gen-368,-0.0
2019-01-01T00:00:00.0,gen-905,1.0
2019-01-01T01:00:00.0,gen-905,-0.0
2019-01-01T00:00:00.0,gen-184,1.0
2019-01-01T01:00:00.0,gen-184,-0.0
2019-01-01T00:00:00.0,gen-234,1.0
2019-01-01T01:00:00.0,gen-234,-0.0
2019-01-01T00:00:00.0,gen-1729,1.0
2019-01-01T01:00:00.0,gen-1729,-0.0
2019-01-01T00:00:00.0,gen-1330,1.0
2019-01-01T01:00:00.0,gen-1330,-0.0
2019-01-01T00:00:00.0,gen-428,1.0
2019-01-01T01:00:00.0,gen-428,-0.0
